Date,Bullish,Neutral,Bearish,T+1,T+2,T+3,T+4,Bu_Be_Ne,Strength,Bu<->Be,Spread,MatchT+1,MatchT+2,MatchT+3,MatchT+4
2018-01-04,0.597531,0.246914,0.155556,0.007033799683552555,0.0016623225124401397,0.0013029031448006378,-0.0011122055472160275,Bu,Strong,0.441975,High,Y,Y,Y,N
2018-01-11,0.486726,0.262537,0.250737,0.006749627831013516,-0.0035244630756861017,0.009415002053003496,-0.001616379310344751,Bu,Strong,0.235989,Mid,Y,N,Y,N
2018-01-18,0.541133,0.244973,0.213894,0.004385228178396927,0.008066754439027823,0.002174396481431362,-0.0005600307136341964,Bu,Strong,0.32723899999999995,High,Y,Y,Y,N
2018-01-25,0.454545,0.305195,0.24026,0.011841155234656897,-0.006731944014173874,-0.010898781509218525,0.0004889403811609849,Bu,Moderate,0.21428499999999998,Mid,Y,N,N,Y
2018-02-01,0.447712,0.264706,0.287582,-0.021208513171602883,-0.040979244278871785,0.017440938639606607,-0.0050015954644285765,Bu,Moderate,0.16013,Mid,N,N,Y,N
2018-02-08,0.370277,0.279597,0.350126,0.014936071290197583,0.013914603653299107,0.0026129518072288693,0.013402479965752168,Bu,Moderate,0.02015100000000003,Low,Y,Y,Y,Y
2018-02-15,0.485194,0.300683,0.214123,0.0003734622144111466,-0.005841403693699454,-0.00549652831466807,0.0009735944886408721,Bu,Strong,0.271071,Mid,Y,N,N,Y
2018-02-22,0.446512,0.325581,0.227907,0.016028343614550522,0.011756997779638123,-0.012706864297021059,-0.011095806550352139,Bu,Moderate,0.21860500000000002,Mid,Y,Y,N,N
2018-03-29,0.319361,0.327345,0.353293,-0.02233733580221664,0.01261483879963432,0.011566486259060316,0.00686280811739759,Be,Moderate,0.03393200000000002,Low,Y,N,N,N
2018-04-05,0.318966,0.314655,0.366379,-0.02192020549488527,0.003336571356168383,0.01672687474169199,-0.005525298565605352,Be,Moderate,0.04741299999999998,Low,Y,N,N,Y
2018-04-12,0.26087,0.311594,0.427536,-0.0028866474724003055,0.008109023830139561,0.01066157798822931,0.0008313657676830566,Be,Strong,0.16666600000000004,Mid,Y,N,N,N
2018-04-19,0.377834,0.329975,0.292191,-0.008536535555283331,5.617682967939963e-05,-0.01338056915166519,0.0018371189116968,Bu,Moderate,0.08564300000000002,Low,N,Y,N,Y
2018-05-24,0.385621,0.362745,0.251634,-0.002357245505469785,-0.011564198388288038,0.01269582803565994,-0.006879563584568427,Bu,Moderate,0.13398699999999997,Low,N,N,Y,N
2018-06-07,0.389313,0.343511,0.267176,0.0031259362467830343,0.0010687182218256375,0.0017433501078361058,-0.004026050917702695,Bu,Moderate,0.122137,Low,Y,Y,Y,N
2018-06-14,0.447802,0.335165,0.217033,-0.0010170746345898873,-0.0021261593144484836,-0.004023433979269853,0.0017121614137458607,Bu,Moderate,0.23076899999999997,Mid,N,N,N,Y
2018-06-21,0.387187,0.350975,0.261838,0.0018619806819504259,-0.013724735741665661,0.0022045806696182613,-0.008604290761129008,Bu,Moderate,0.125349,Low,Y,N,Y,N
2018-06-28,0.284483,0.307471,0.408046,0.0007583817752760957,0.0030680150237090142,-0.00494735413740377,0.00862075320099387,Be,Strong,0.12356300000000003,Low,N,N,Y,N
